activation,avg_loss,batch_size,block_size,chunk_size,config_name,embed_size,epoch,grad_norm,grad_norm_postclip,grad_norm_preclip,inner_layers,k,learning_rate,max_param_grad,model_type,num_epochs,perplexity,tinystories_weight,token_accuracy,token_drift_cosine,val_loss,weight_norm
relu,,256,128,3,kvcache_transformer_tsw0.8_bs256_lr0.005_actrelu_ep10_mlp11_k2_cs3_blk128_emb128_20250416_045742,128,,,,,11,2,0.005,,kvcache_transformer,10,,0.8,,,,
relu,2.0992491364479067,256,16,2,kvcache_transformer_tsw0.8_bs256_lr0.005_actrelu_ep7_mlp11_k4_cs2_blk16_emb64_20250416_045228,64,7,0.23753130237187414,0.24515769145929892,0.24515769145929892,11,4,0.005,0.01727780932560563,kvcache_transformer,7,8.160040534671309,0.8,0.6109375357627869,,2.0377727895975113,1816.5264942569663
gelu,9.560698699951171,32,16,1,kvcache_transformer_tsw0.8_bs32_lr0.001_actgelu_ep2_mlp9_k1_cs1_blk16_emb32_20250416_043723,32,2,0.9589784659508505,0.9853346247113081,1.0349372782975568,9,1,0.001,0.19307475984096528,kvcache_transformer,2,14195.761313085819,0.8,0.27916666865348816,,9.25640464964367,1275.7640726002815
gelu,2.769375538825989,32,8,1,kvcache_transformer_tsw0.8_bs32_lr0.001_actgelu_ep7_mlp7_k2_cs1_blk8_emb64_20250416_043710,64,7,0.9999992121244647,0.999999284804838,1.2914264417585601,7,2,0.001,0.12233405783772469,kvcache_transformer,7,15.948671573365772,0.8,0.7187500596046448,,2.453142423478384,1802.2155694570206
gelu,7.402048540115357,32,32,3,kvcache_transformer_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp7_k3_cs3_blk32_emb32_20250416_044008,32,2,0.9343796400816227,0.9322956888739474,0.9322956888739474,7,3,0.005,0.13497721776366234,kvcache_transformer,2,1639.3392447920055,0.8,0.22177419066429138,,6.173593710339259,1280.03002899944
gelu,5.267542934417724,32,64,1,kvcache_transformer_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp7_k5_cs1_blk64_emb256_20250416_043956,256,2,0.5453926982808798,0.7862424772756975,1.0100512373732564,7,5,0.005,0.062201897241175176,kvcache_transformer,2,193.93885605629814,0.8,0.2455357313156128,,4.87114683787028,3596.735786168477
gelu,5.172354984283447,32,64,3,kvcache_transformer_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp9_k3_cs3_blk64_emb256_20250416_045107,256,2,0.7757553103468808,0.9352493636974251,1.0436847643257945,9,3,0.005,0.10449231378734111,kvcache_transformer,2,176.3296023522496,0.8,0.230654776096344,,4.807052521478562,3596.3902920826226
gelu,3.6141669273376467,32,32,2,kvcache_transformer_tsw0.8_bs32_lr0.005_actgelu_ep5_mlp5_k2_cs2_blk32_emb256_20250416_045048,256,5,0.5954601004397834,0.6721738950923439,0.6721738950923439,5,2,0.005,0.06576739996671677,kvcache_transformer,5,37.120409043110996,0.8,0.4375,,3.4894423257736933,3601.025584599617
relu,2.332050931453705,32,8,2,kvcache_transformer_tsw0.8_bs32_lr0.005_actrelu_ep2_mlp5_k1_cs2_blk8_emb256_20250416_044116,256,2,0.9923297194058407,0.9935158728340416,1.4339951236547148,5,1,0.005,0.10207320638000965,kvcache_transformer,2,10.299042517552868,0.8,0.6741071939468384,,2.2202044574041215,3594.47991949684
relu,3.6189934968948365,32,32,2,kvcache_transformer_tsw0.8_bs32_lr0.005_actrelu_ep7_mlp5_k3_cs2_blk32_emb64_20250416_045846,64,7,0.3787330682480733,0.45358604331681507,0.45358604331681507,5,3,0.005,0.04409672450274229,kvcache_transformer,7,37.30000635014153,0.8,0.40625,,3.5223607714214022,1815.4205131135218
gelu,3.463270378112793,64,64,2,kvcache_transformer_tsw0.8_bs64_lr0.001_actgelu_ep10_mlp5_k3_cs2_blk64_emb256_20250416_044047,256,10,0.445586102746573,0.5060343202917711,0.5060343202917711,5,3,0.001,0.03315341901034117,kvcache_transformer,10,31.92120039112596,0.8,0.3876488208770752,,3.4420858919620514,3595.620451298961
relu,3.4809969902038573,64,64,3,kvcache_transformer_tsw0.8_bs64_lr0.001_actrelu_ep10_mlp11_k5_cs3_blk64_emb256_20250416_045152,256,10,0.528743342555847,0.4838495672929567,0.4838495672929567,11,5,0.001,0.029553925059735774,kvcache_transformer,10,32.49210023846687,0.8,0.3750000298023224,,3.4460678696632385,3595.8532001421186
relu,8.286549854278565,64,128,2,kvcache_transformer_tsw0.8_bs64_lr0.001_actrelu_ep5_mlp7_k3_cs2_blk128_emb32_20250416_045615,32,5,0.7888618549914633,0.7778655310878906,0.7778655310878906,7,3,0.001,0.10548619702458381,kvcache_transformer,5,3970.113069581533,0.8,0.05204232409596443,,7.998114615678787,1276.7085966740383
relu,4.2559485912323,64,128,2,kvcache_transformer_tsw0.8_bs64_lr0.001_actrelu_ep7_mlp5_k3_cs2_blk128_emb256_20250416_044911,256,7,0.3638673327120984,0.5174727129510476,0.5174727129510476,5,3,0.001,0.03345153331756592,kvcache_transformer,7,70.52368361691312,0.8,0.2887549102306366,,4.170428365468979,3597.0820907018046
gelu,3.1654303789138796,64,32,3,kvcache_transformer_tsw0.8_bs64_lr0.005_actgelu_ep7_mlp3_k2_cs3_blk32_emb256_20250416_050033,256,7,0.4915450771141248,0.4735562168943952,0.4735562168943952,3,2,0.005,0.039371182583272456,kvcache_transformer,7,23.698941362959644,0.8,0.4420362710952759,,3.114118993282318,3601.575475184369
gelu,8.500766801834107,128,16,2,lstm_seq_tsw0.8_bs128_lr0.001_actgelu_ep2_mlp5_k3_cs2_blk16_emb256_20250416_045026,256,2,0.999999465413228,0.9975541162406589,1.499790953076886,5,3,0.001,0.10335274934768676,lstm_seq,2,4918.538939334786,0.8,0.3984375298023224,,7.178536951541901,3589.4894560041266
gelu,9.029404735565185,128,64,2,lstm_seq_tsw0.8_bs128_lr0.001_actgelu_ep7_mlp11_k1_cs2_blk64_emb32_20250416_045253,32,7,0.6712621217919197,0.6732839976113892,0.6732839976113892,11,1,0.001,0.0726836696267128,lstm_seq,7,8344.890676786987,0.8,0.0078125,,8.752931594848633,1275.3658249804737
gelu,7.310844993591308,128,32,2,lstm_seq_tsw0.8_bs128_lr0.001_actgelu_ep7_mlp3_k3_cs2_blk32_emb64_20250416_044715,64,7,0.8731300737556352,0.9075066378854331,0.9075066378854331,3,3,0.001,0.06357317753136157,lstm_seq,7,1496.4411382734193,0.8,0.13659273087978363,,6.97767236828804,1798.650957089675
relu,6.254941749572754,128,8,2,lstm_seq_tsw0.8_bs128_lr0.001_actrelu_ep5_mlp7_k4_cs2_blk8_emb128_20250416_045651,128,5,0.9999994747708563,0.9999995547032793,2.152117353990153,7,4,0.001,0.15604717954993247,lstm_seq,5,520.5790499221472,0.8,0.4508928656578064,,5.746716529130936,2540.102814872141
relu,9.49181089401245,128,16,1,lstm_seq_tsw0.8_bs128_lr0.001_actrelu_ep7_mlp11_k5_cs1_blk16_emb32_20250416_045634,32,7,0.7045007546908443,0.6856166334143603,0.6856166334143603,11,5,0.001,0.10697025656700135,lstm_seq,7,13250.769351759658,0.8,0.15052084624767303,,9.27943640947342,1274.3748889445012
gelu,4.3895073413848875,128,128,2,lstm_seq_tsw0.8_bs128_lr0.005_actgelu_ep10_mlp9_k3_cs2_blk128_emb128_20250416_035922,128,10,0.12834113495442218,0.14533104916844647,0.14533104916844647,9,3,0.005,0.008744390774518251,lstm_seq,10,80.6007005679524,0.8,0.2782357335090637,,4.320733368396759,2539.5215468808806
gelu,5.375420951843262,128,16,3,lstm_seq_tsw0.8_bs128_lr0.005_actgelu_ep5_mlp3_k1_cs3_blk16_emb32_20250416_045009,32,5,0.7018330038412807,0.7670080237623622,0.7670080237623622,3,1,0.005,0.09655751809477806,lstm_seq,5,216.03079173290368,0.8,0.37187501788139343,,4.767784953117371,1275.1191428859124
gelu,2.7853492975234984,128,16,1,lstm_seq_tsw0.8_bs128_lr0.005_actgelu_ep7_mlp3_k4_cs1_blk16_emb128_20250416_043652,128,7,0.27265818812714,0.2460675097733568,0.2460675097733568,3,4,0.005,0.011903227493166923,lstm_seq,7,16.205477421403053,0.8,0.565625011920929,,2.699412927031517,2539.4225714974073
relu,4.34278974533081,128,16,3,lstm_seq_tsw0.8_bs128_lr0.005_actrelu_ep10_mlp3_k5_cs3_blk16_emb64_20250416_044949,64,10,0.15096132147055716,0.14714587013596486,0.14714587013596486,3,5,0.005,0.01422856030985713,lstm_seq,10,76.92183261084952,0.8,0.491666704416275,,4.260145112872124,1798.289033896712
gelu,,256,128,3,lstm_seq_tsw0.8_bs256_lr0.001_actgelu_ep10_mlp9_k1_cs3_blk128_emb128_20250416_045939,128,,,,,9,1,0.001,,lstm_seq,10,,0.8,,,,
relu,,256,128,2,lstm_seq_tsw0.8_bs256_lr0.001_actrelu_ep10_mlp9_k4_cs2_blk128_emb64_20250416_045823,64,,,,,9,4,0.001,,lstm_seq,10,,0.8,,,,
relu,,256,128,2,lstm_seq_tsw0.8_bs256_lr0.001_actrelu_ep5_mlp11_k2_cs2_blk128_emb256_20250416_045904,256,,,,,11,2,0.001,,lstm_seq,5,,0.8,,,,
relu,,256,128,2,lstm_seq_tsw0.8_bs256_lr0.001_actrelu_ep7_mlp9_k4_cs2_blk128_emb128_20250416_044809,128,,,,,9,4,0.001,,lstm_seq,7,,0.8,,,,
gelu,2.8449509382247924,256,32,3,lstm_seq_tsw0.8_bs256_lr0.005_actgelu_ep10_mlp9_k4_cs3_blk32_emb256_20250416_044145,256,10,0.22275298027994983,0.2222345875744373,0.2222345875744373,9,4,0.005,0.0066120027564466,lstm_seq,10,17.20071475062304,0.8,0.49798384308815,,2.8270837366580963,3590.9268096569454
gelu,3.57748863697052,256,32,2,lstm_seq_tsw0.8_bs256_lr0.005_actgelu_ep7_mlp11_k4_cs2_blk32_emb128_20250416_043742,128,7,0.15692806190191486,0.15800547917129298,0.15800547917129298,11,4,0.005,0.014984774589538574,lstm_seq,7,35.78356239441338,0.8,0.4141885042190552,,3.5189544558525085,2538.91093161445
relu,,256,128,3,lstm_seq_tsw0.8_bs256_lr0.005_actrelu_ep10_mlp11_k2_cs3_blk128_emb128_20250416_045738,128,,,,,11,2,0.005,,lstm_seq,10,,0.8,,,,
relu,3.8222638845443724,256,16,2,lstm_seq_tsw0.8_bs256_lr0.005_actrelu_ep7_mlp11_k4_cs2_blk16_emb64_20250416_045223,64,7,0.16527364182921742,0.16437165761072162,0.16437165761072162,11,4,0.005,0.019975046440958977,lstm_seq,7,45.70756793619784,0.8,0.4794270992279053,,3.781470686197281,1797.6958938324303
gelu,10.755093955993653,32,16,1,lstm_seq_tsw0.8_bs32_lr0.001_actgelu_ep2_mlp9_k1_cs1_blk16_emb32_20250416_043722,32,2,0.21283064690131903,0.17569801985631298,0.17569801985631298,9,1,0.001,0.07514408901333809,lstm_seq,2,46868.165782045566,0.8,0.0833333358168602,,10.712685630435036,1275.4254635687869
gelu,7.267769050598145,32,8,1,lstm_seq_tsw0.8_bs32_lr0.001_actgelu_ep7_mlp7_k2_cs1_blk8_emb64_20250416_043708,64,7,0.9999994644790211,0.9999994136291038,1.6640235435684203,7,2,0.001,0.18638255596160888,lstm_seq,7,1433.3491539585714,0.8,0.5535714626312256,,6.80638673570421,1796.9908341255127
gelu,10.042911815643311,32,32,3,lstm_seq_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp7_k3_cs3_blk32_emb32_20250416_044007,32,2,0.6582186801753281,0.45938670840151874,0.45938670840151874,7,3,0.005,0.07190248444676399,lstm_seq,2,22992.234688002787,0.8,0.12096773833036423,,9.318701289948963,1276.4823250482302
gelu,5.443150901794434,32,64,1,lstm_seq_tsw0.8_bs32_lr0.005_actgelu_ep2_mlp7_k5_cs1_blk64_emb256_20250416_043954,256,2,0.4961797094412718,0.5843215317835144,0.5843215317835144,7,5,0.005,0.022736022993922234,lstm_seq,2,231.16942928842775,0.8,0.2519841492176056,,5.205323060353597,3589.1078308767846
